MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,GarageYrBlt_NaN,LotFrontage_NaN
60,4,-0.03701329945768772,-0.10367830306589637,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,13,14,1,0.5290341666924494,2,4,2,2,4,4,2,0.580959154034753,6,-0.2930252797528886,-0.9347821341758334,-0.4442778364288438,1,0,1,5,-0.7772021003635524,1.2073785497461735,-0.10119701650206231,0.5646875602053837,1.0,0.0,2,1,3,1,2,8,7,0,3,1,2003.0,2,2.0,0.3488882605267744,5,5,2,-0.7407604083206012,0.20000600898329907,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,2,2008,9,4,0,0
20,4,0.5981904076258227,0.14657094311798508,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,-0.5670159496749859,3,4,1,2,4,1,0,1.178161899614981,6,-0.2930252797528886,-0.6298183803459485,0.47715787567324175,1,0,1,5,0.4249719962352222,-0.7850250438866518,-0.10119701650206231,-0.37025523566202634,0.0,1.0,2,0,3,1,4,6,7,1,5,1,1976.0,2,2.0,-0.059803779284765005,5,5,2,1.6148793004689124,-0.7028427666170877,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,5,2007,9,4,0,0
60,4,0.10101769377900129,0.4576354344870978,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,13,14,1,0.338903024057282,2,4,2,2,4,2,2,0.09792752158015665,6,-0.2930252797528886,-0.28844104396921155,-0.29902688673787464,1,0,1,5,-0.5539033300021572,1.2353748531695856,-0.10119701650206231,0.6985146837043712,1.0,0.0,2,1,3,1,2,6,7,1,5,1,2001.0,2,2.0,0.6275419240346423,5,5,2,-0.7407604083206012,-0.08120918341682137,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,9,2008,9,4,0,0
70,4,-0.2818773920324846,0.13632939310758577,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,14,16,3,-0.5670159496749859,3,4,0,4,1,4,0,-0.4948840273413933,6,-0.2930252797528886,-0.047201059596317464,-0.671232445320983,1,2,1,5,-0.41887494416149557,0.9787420717883084,-0.10119701650206231,0.5772599571997394,1.0,0.0,1,0,3,1,2,7,7,1,2,5,1998.0,3,3.0,0.7854456666891007,5,5,2,-0.7407604083206012,-0.18481478061686574,3.8749668872227674,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,2,2006,9,0,0,0
60,4,0.74744771816872,0.9226293205286885,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,13,14,1,1.3902164009811486,2,4,2,2,4,0,2,0.46898363923846015,6,-0.2930252797528886,-0.16099350505522977,0.2116209832694388,1,0,1,5,0.12366210491967394,1.6716505815177571,-0.10119701650206231,1.3373175048657082,1.0,0.0,2,1,4,1,2,9,7,1,5,1,2000.0,2,3.0,1.6864258453645398,5,5,2,0.7769671892887499,0.5404243997834449,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,12,2008,9,4,0,0
50,4,0.7836513126881294,0.9025846284320246,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,13,14,3,-0.5670159496749859,3,4,5,2,4,4,2,0.6380447105975688,6,-0.2930252797528886,-1.1305051403651627,-0.5804506017641273,1,0,1,5,-1.0022596054520494,0.535467267584284,-0.10119701650206231,-0.13557306419829232,1.0,0.0,1,1,1,1,4,5,7,0,3,1,1993.0,3,2.0,0.03308077521785759,5,5,2,-0.42456715881865303,-0.25881877861689745,-0.3596007501322808,12.603223215547768,-0.28593545802354126,0,3,2,3,1.14431217701962,10,2009,9,4,0,0
20,4,0.40075622687664353,0.24303888861201595,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,13,14,4,0.4731132423879884,2,4,2,0,4,0,2,2.036640846386559,6,-0.2930252797528886,-0.5547153663430664,1.4394454173759124,1,0,1,5,1.3366918422251501,-0.7850250438866518,-0.10119701650206231,0.5357563116684387,1.0,0.0,2,0,3,1,2,7,7,1,2,1,2004.0,2,2.0,0.7575803003383138,5,5,2,1.274971557254318,0.1408028105832737,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,8,2007,9,4,0,0
60,4,0.10101769377900129,0.30015747708800566,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,4,0.7750862336320777,3,4,1,2,4,2,0,0.9168856984236312,1,-0.10384421706215646,-0.7845761061700692,0.12537823189042585,1,0,1,5,0.01913771141335656,1.5083388115478533,-0.10119701650206231,1.182259431273732,1.0,0.0,2,1,3,1,4,7,7,2,5,1,1973.0,2,2.0,0.05165768611838211,5,5,2,1.116874932503344,2.3165203517842055,3.189963298827098,-0.10333053085137019,-0.28593545802354126,0,3,4,3,0.5273601085614298,11,2009,9,4,0,1
50,5,-0.7790501058793072,-0.7363868390490759,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,16,3,-0.5670159496749859,3,4,0,4,4,4,6,-0.9691332664786333,6,-0.2930252797528886,0.8904486909851199,-0.22640141189239005,1,2,1,1,-0.2282826290254383,0.969409970647171,-0.10119701650206231,0.6777671518767885,0.0,0.0,2,0,2,2,4,8,2,2,5,5,1931.0,3,2.0,-0.02264995748371597,1,5,2,-0.029325596941217873,-0.7028427666170877,2.831893241256634,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,4,2008,9,0,0,0
190,4,-0.8396296702695198,-0.3586163684120436,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,-0.5670159496749859,3,4,0,4,4,4,2,0.8993209117889186,6,-0.2930252797528886,-0.9575406232676159,-0.13788911442445573,1,0,1,5,-0.06594810297129572,-0.7850250438866518,-0.10119701650206231,-0.8581016729793909,1.0,0.0,1,0,2,2,4,5,7,2,5,1,1939.0,2,1.0,-1.244081849193203,2,5,2,-0.7407604083206012,-0.6436395682170623,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,0,3,4,1,-0.08959195989676072,1,2008,9,4,0,0
